lang_id,code,name,percent,official
217,CYP,Greek,80.9,yes
218,CYP,Turkish,0.2,yes
219,CYP,English,4.1,no
220,CYP,Romanian,2.9,no
221,CYP,Russian,2.5,no
222,CYP,Bulgarian,2.2,no
223,CYP,Arabic,1.2,no
224,CYP,Filipino,1.1,no
225,CYP,Other,4.3,no
226,CYP,unspecified,0.6,no
227,DNK,Danish,,no
228,DNK,Faroese,,no
229,DNK,Greenlandic,,no
230,DNK,German,,no
231,DJI,French,,yes
232,DJI,Arabic,,yes
233,DJI,Somali,,no
234,DJI,Afar,,no
235,DMA,English,,yes
236,DMA,French patois,,no
237,DOM,Spanish,,yes
238,ECU,Spanish,93,yes
239,ECU,Quechua,4.1,no
240,ECU,Other,0.7,no
241,ECU,foreign,2.2,no
242,EGY,Arabic,,yes
243,EGY,English,,no
244,SLV,Spanish,,yes
245,SLV,Nawat,,no
246,GNQ,Spanish,67.6,yes
247,GNQ,Other,,yes
248,GNQ,Fang,,no
249,GNQ,Bubi,32.4,no
250,ERI,Tigrinya,,yes
251,ERI,Arabic,,yes
252,ERI,English,,yes
253,ERI,Tigre,,no
254,ERI,Kunama,,no
255,ERI,Afar,,no
256,ERI,Other,,no
257,EST,Estonian,68.5,yes
258,EST,Russian,29.6,no
259,EST,Ukrainian,0.6,no
260,EST,Other,1.2,no
261,EST,unspecified,0.1,no
262,ETH,Oromo,33.8,yes
263,ETH,Amharic,29.3,yes
264,ETH,Somali,6.2,yes
265,ETH,Tigrigna,5.9,yes
266,ETH,Sidamo,4,no
267,ETH,Wolaytta,2.2,no
268,ETH,Gurage,2,no
269,ETH,Afar,1.7,yes
270,ETH,Hadiyya,1.7,no
271,ETH,Gamo,1.5,no
272,ETH,Gedeo,1.3,no
273,ETH,Opuuo,1.2,no
274,ETH,Kafa,1.1,no
275,ETH,Other,8.1,no
276,ETH,English,,no
277,ETH,Arabic,,no
278,FRO,Faroese,93.8,no
279,FRO,Danish,3.2,no
280,FRO,Other,3,no
281,FIN,Finnish,88.3,yes
282,FIN,Swedish,5.3,yes
283,FIN,Russian,1.4,no
284,FIN,Other,5,no
285,FRA,French,100,yes
286,FRA,Provencal,,no
287,FRA,Breton,,no
288,FRA,Alsatian,,no
289,FRA,Corsican,,no
290,FRA,Catalan,,no
291,FRA,Basque,,no
292,FRA,Flemish,,no
293,FRA,Occitan,,no
294,FRA,Picard,,no
295,FRA,French,,no
296,FRA,Creole patois,,no
297,FRA,Mahorian,,no
298,PYF,French,70,yes
299,PYF,Polynesian,28.2,yes
300,PYF,Other,1.8,no
301,GAB,French,,yes
302,GAB,Fang,,no
303,GAB,Myene,,no
304,GAB,Nzebi,,no
305,GAB,Bapounou/Eschira,,no
306,GAB,Bandjabi,,no
307,GMB,English,,yes
308,GMB,Mandinka,,no
309,GMB,Wolof,,no
310,GMB,Fula,,no
311,GMB,Other,,no
312,GEO,Georgian,87.6,yes
313,GEO,Azeri,6.2,no
314,GEO,Armenian,3.9,no
315,GEO,Russian,1.2,no
316,GEO,Other,1,no
317,DEU,German,,yes
318,GHA,Asante,16,no
319,GHA,Ewe,14,no
320,GHA,Fante,11.6,no
321,GHA,Boron,4.9,no
322,GHA,Dagomba,4.4,no
323,GHA,Dangme,4.2,no
324,GHA,Dagarte,3.9,no
325,GHA,Kokomba,3.5,no
326,GHA,Akyem,3.2,no
327,GHA,Ga,3.1,no
328,GHA,Other,31.2,no
329,GIB,English,,yes
330,GIB,Spanish,,no
331,GIB,Italian,,no
332,GIB,Portuguese,,no
333,GRC,Greek,99,yes
334,GRC,Other,1,no
335,GRL,Greenlandic,,yes
336,GRL,Danish,,yes
337,GRL,English,,no
338,GRD,English,,yes
339,GRD,French patois,,no
340,GUM,English,43.6,no
341,GUM,Filipino,21.2,no
342,GUM,Chamorro,17.8,no
343,GUM,Other Pacific Islander,10,no
344,GUM,Asian,6.3,no
345,GUM,Other,1.1,no
346,GTM,Spanish,60,yes
347,GTM,Amerindian,40,no
348,GIN,French,,yes
349,GNB,Crioulo,,no
350,GNB,Portuguese,,yes
351,GNB,Pular,,no
352,GNB,Mandingo,,no
353,GUY,English,,yes
354,GUY,Guyanese Creole,,no
355,GUY,Amerindian,,no
356,GUY,Indian,,no
357,GUY,Chinese,,no
358,HTI,French,,yes
359,HTI,Creole,,yes
360,HND,Spanish,,yes
361,HND,Amerindian,,no
362,HKG,Cantonese,89.5,yes
363,HKG,English,3.5,yes
364,HKG,Mandarin,1.4,yes
365,HKG,Other Chinese,4,no
366,HKG,Other,1.6,no
367,HUN,Hungarian,99.6,yes
368,HUN,English,16,no
369,HUN,German,11.2,no
370,HUN,Russian,1.6,no
371,HUN,Romanian,1.3,no
372,HUN,French,1.2,no
373,HUN,Other,4.2,no
374,ISL,Icelandic,,no
375,ISL,English,,no
376,ISL,Nordic,,no
377,ISL,German,,no
378,IND,Hindi,41,no
379,IND,Bengali,8.1,no
380,IND,Telugu,7.2,no
381,IND,Marathi,7,no
382,IND,Tamil,5.9,no
383,IND,Urdu,5,no
384,IND,Gujarati,4.5,no
385,IND,Kannada,3.7,no
386,IND,Malayalam,3.2,no
387,IND,Oriya,3.2,no
388,IND,Punjabi,2.8,no
389,IND,Assamese,1.3,no
390,IND,Maithili,1.2,no
391,IND,Other,5.9,no
392,IDN,Bahasa,,yes
393,IDN,English,,no
394,IDN,Dutch,,no
395,IDN,Other,,no
396,IRN,Persian,,yes
397,IRN,Turkic,,no
398,IRN,Kurdish,,no
399,IRN,Gilaki and Mazandarani,,no
400,IRN,Luri,,no
401,IRN,Balochi,,no
402,IRN,Arabic,,no
403,IRN,Other,,no
404,IRQ,Arabic,,yes
405,IRQ,Kurdish,,yes
406,IRQ,Turkmen,,no
407,IRQ,Syriac,,yes
408,IRQ,Armenian,,yes
409,IRL,English,61.3,yes
410,IRL,Irish,38.7,yes
411,ISR,Hebrew,,yes
412,ISR,Arabic,,yes
413,ISR,English,,no
414,ITA,Italian,,yes
415,ITA,German,,no
416,ITA,French,,no
417,ITA,Slovene,,no
418,JAM,English,,no
419,JAM,English patois,,no
420,JPN,Japanese,,no
421,JOR,Arabic,,yes
